id;name;asciiname;alternatenames;location;lat;lon;featureclass;featuretype;countrycode;cc_2;admin_1_code;admin_2_code;admin_3_code;admin_4_code;population;elevation;dem
1;mobile Fish;Home Loan Account Table Computer;Trace;33370;60111;14286;deposit Tasty Metal Bacon Implementation;Chips;Money Market Account;Albania web-readiness;Namibia;Steel zero administration;Multi-channelled Licensed;grey Cambridgeshire;59241;46676;HDD
2;Table Small Frozen Sausages Planner;envisioneer Music Public-key;infomediaries;12203;60999;49517;Games Regional Digitized;copy convergence;Mayotte;Industrial;connect Markets Chief;capacitor archive;sky blue Tasty Plastic Pizza;compress South Georgia and the South Sandwich Islands;58675;35675;mission-critical Faroe Islands Plastic
3;Car Industrial deliverables;orange Books;magenta monitor 1080p;60595;7404;92630;deposit Internal;Investment Account archive Fantastic Plastic Chicken;payment;withdrawal COM;embrace Developer;synthesize Idaho compress;Sleek Metal Table Small;Intelligent Outdoors;63641;47537;Montana
4;Corporate Phased relationships;white Brand Money Market Account;Salad Web virtual;63340;10549;87146;digital maroon;EXE projection Fresh;support Gorgeous;withdrawal;copying;ability Hat Iraq;magenta Concrete;User-centric Gloves;21876;51879;Kenyan Shilling robust
5;Versatile Exclusive Moroccan Dirham;capability zero tolerance Computers;Analyst paradigms;3305;27864;34507;deposit Canadian Dollar Lebanon;Designer Persistent;Handmade 24/7 Re-contextualized;web-enabled invoice withdrawal;bypassing optical;installation;Argentine Peso;Kentucky Algerian Dinar Clothing;51209;80950;turn-key
6;Sausages;disintermediate Cambridgeshire hacking;bricks-and-clicks Concrete Global;87733;69578;25794;deposit;Designer Borders content-based;Tasty Customer Human;pink even-keeled;bus Internal AI;THX bypassing Marketing;Dynamic Home Loan Account Tools;Branding;97366;506;Gloves
7;Buckinghamshire Ports;Devolved driver Networked;Fish;36646;64963;74417;alarm local area network Benin;turn-key dedicated;Wisconsin;target Human withdrawal;dot-com payment Libyan Dinar;white sensor local;calculate;Chips;94045;46994;uniform PCI back up
8;Tactics architectures Planner;Facilitator Incredible functionalities;compressing;31692;48527;16949;Maryland Configuration;Intranet Ergonomic Concrete Soap Zambian Kwacha;Concrete Bedfordshire;portal calculating Metal;real-time discrete redundant;Synergistic Personal Loan Account Sleek;Borders;olive Handcrafted Cotton Bacon Unbranded Fresh Pants;2761;37558;Practical North Dakota
9;implementation;Wallis and Futuna;generating;86040;3050;25025;Licensed Plastic Pants;Plastic South Georgia and the South Sandwich Islands;composite Orchestrator Club;Intelligent Granite Shirt Peru deposit;Frozen Analyst card;redundant;content;Gorgeous Electronics Brand;83598;42831;Som Rustic Frozen Keyboard ROI
10;Benin;Tuna Response invoice;alarm Jamaica;61172;73003;41960;Organic;Cheese Steel;Wooden Ergonomic Steel Gloves;Developer Shoes Music;Buckinghamshire Hollow Shoes;withdrawal Generic Frozen Tuna;Gorgeous Cotton Chair Personal Loan Account Borders;Norfolk Island Chilean Peso Unidades de fomento Checking Account;94389;64241;Outdoors New York Data
